EnsEMBLID	FAST DB STABLE ID	Gene Symbol	Regulation	Fold-Change	P-Value	Aliases and Synonyms
ENSG00000080007	GSHG0025844	DDX43	up	3.13	4,62E-02	CT13 // DKFZp434H2114 // HAGE
---	GSHG0021331	---	up	2.87	1,98E-02	---
ENSG00000100994	GSHG0018639	PYGB	up	2.55	3,78E-02	---
---	GSHG0018880	---	up	2.4	3,14E-03	---
ENSG00000204157 // ENSG00000253368	GSHG0000289	TRNP1	up	2.21	8,28E-03	C1orf225 // LOC388610
ENSG00000207839	GSHG0039062	MIR33B	up	2.14	2,32E-02	MIRN33B // hsa-mir-33b
ENSG00000126562	GSHG0012519	WNK4	up	2.05	1,07E-02	PRKWNK4
ENSG00000143878	GSHG0016280	RHOB	up	1.98	1,98E-03	ARH6 // ARHB // MST081 // RhoB // RHOH6
ENSG00000224201	GSHG0031897	PNMA6A	up	1.94	3,03E-02	MGC15827
---	GSHG0005200	---	up	1.88	3,19E-02	---
---	GSHG0034548	---	up	1.86	1,70E-03	---
ENSG00000167123	GSHG0030482	CERCAM	up	1.85	3,42E-02	CEECAM1 // CerCAM // GLT25D3
---	GSHG0045087	MIR3074	up	1.83	3,18E-02	hsa-mir-3074
ENSG00000266750	GSHG0043185	MIR4645	up	1.83	2,21E-02	hsa-mir-4645
---	GSHG0040015	---	up	1.83	2,96E-03	---
ENSG00000180447	GSHG0030924	GAS1	up	1.82	1,31E-02	---
---	GSHG0034648	---	up	1.82	1,48E-02	---
---	GSHG0039974	---	up	1.81	4,16E-02	---
---	GSHG0011723	---	up	1.81	4,07E-02	---
---	GSHG0003612	---	up	1.78	4,26E-02	---
---	GSHG0026509	---	up	1.78	2,03E-02	---
ENSG00000108825	GSHG0013434	AARSD1 // PTGES3L // PTGES3L-AARSD1	up	1.73	4,92E-02	MGC2744
ENSG00000246493	GSHG0022804	SNHG8	up	1.72	4,13E-02	LINC00060 // NCRNA00060
ENSG00000174871	GSHG0005012	CNIH2	up	1.71	3,96E-02	CNIH-2 // Cnil // MGC50896
ENSG00000126016	GSHG0032282	AMOT	up	1.71	4,08E-02	KIAA1071
---	GSHG0019867	---	up	1.7	7,86E-03	---
---	GSHG0043258	---	up	1.69	1,28E-02	---
ENSG00000100033	GSHG0020177	PRODH	up	1.67	3,00E-03	HSPOX2 // PIG6 // PRODH1 // PRODH2 // TP53I6
ENSG00000221390	GSHG0034585	MIR1295A	up	1.65	3,71E-02	MIR1295 // MIRN1295 // hsa-mir-1295
ENSG00000136830	GSHG0031169	FAM129B	up	1.64	3,83E-02	C9orf88 // bA356B19.6 // DKFZP434H0820 // FLJ13518 // FLJ22151 // FLJ22298 // MINERVA
---	GSHG0035649	---	up	1.62	3,33E-02	---
---	GSHG0000006	---	up	1.6	1,92E-03	---
ENSG00000215630	GSHG0024851	GUSBP9	up	1.6	9,90E-03	---
ENSG00000160781	GSHG0002604	PAQR6	up	1.57	1,04E-03	FLJ22672
ENSG00000184162	GSHG0015642	NR2C2AP	up	1.57	4,73E-02	TRA16
ENSG00000124733	GSHG0026623	MEA1	up	1.55	1,14E-02	MEA
---	GSHG0015776	---	up	1.55	3,90E-02	---
---	GSHG0015227	ZNF582-AS1	up	1.55	4,10E-02	---
---	GSHG0014862	---	up	1.54	2,56E-02	---
ENSG00000151929	GSHG0003731	BAG3	up	1.53	2,52E-02	---
---	GSHG0042956	---	up	1.53	2,14E-02	---
---	GSHG0010873	---	up	1.53	3,84E-02	---
ENSG00000131196	GSHG0014139	NFATC1	up	1.52	2,54E-02	NF-ATC // NFAT2 // NFATc
ENSG00000159176	GSHG0002843	CSRP1	up	1.51	4,68E-02	CYRP // CSRP // D1S181E
ENSG00000258405	GSHG0033897	ZNF578	up	1.51	4,55E-02	FLJ31384
ENSG00000204387	GSHG0025624	C6orf48	up	1.5	8,40E-03	D6S57 // G8
ENSG00000196932	GSHG0004105	TMEM26	down	7.08	1,40E-02	Em:AC068892.1 // MGC35010
ENSG00000266486	GSHG0012260	FAM106CP	down	6.93	4,88E-02	FAM106C
ENSG00000091428	GSHG0016994	RAPGEF4	down	6.37	2,71E-02	cAMP-GEFII // CGEF2
ENSG00000185737	GSHG0003508	NRG3	down	6.3	1,90E-02	---
ENSG00000135318	GSHG0025878	NT5E	down	6.09	7,85E-04	NT5 // CD73 // eN // eNT
ENSG00000171714	GSHG0004699	ANO5	down	5.5	1,17E-02	TMEM16E // GDD1
ENSG00000008394	GSHG0006512	MGST1	down	5.47	1,55E-02	GST12 // MGST-I
ENSG00000164035	GSHG0023434	EMCN	down	5.05	2,35E-02	MUC14
ENSG00000206066	GSHG0041161	IGLL3P	down	4.81	3,11E-02	IGLL3 // 16.1
ENSG00000111058	GSHG0006875	ACSS3	down	4.78	1,32E-02	FLJ21963
ENSG00000185070	GSHG0009034	FLRT2	down	4.44	4,68E-02	---
ENSG00000198075	GSHG0016752	SULT1C4	down	4.32	2,21E-02	SULT1C2 // SULT1C
ENSG00000101134	GSHG0018846	DOK5	down	4.3	2,43E-02	C20orf180 // dJ805C22.1
ENSG00000134160	GSHG0010264	TRPM1	down	4.17	2,65E-02	MLSN1 // LTRPC1
ENSG00000134874	GSHG0008583	DZIP1	down	4.06	2,00E-03	DZIP // KIAA0996
ENSG00000124406	GSHG0023222	ATP8A1	down	4.06	3,18E-02	ATPIA
---	GSHG0029892	---	down	4.04	2,74E-02	---
ENSG00000144837	GSHG0021074	PLA1A	down	3.99	4,21E-02	ps-PLA1
ENSG00000151474	GSHG0003878	FRMD4A	down	3.89	3,71E-02	FRMD4 // bA295P9.4 // FLJ10210 // KIAA1294
ENSG00000137571	GSHG0029633	SLCO5A1	down	3.84	4,49E-02	SLC21A15 // OATP-J // OATP5A1 // OATPRP4
ENSG00000132274 // ENSG00000181023	GSHG0004586	OR56B1 // TRIM22	down	3.76	4,51E-02	OR56B1P // GPSTAF50 // RNF94 // STAF50
ENSG00000165443	GSHG0003389	PHYHIPL	down	3.57	1,92E-02	Em:AC025038.1 // KIAA1796
ENSG00000008311	GSHG0028527	AASS	down	3.27	1,74E-02	LKRSDH // LORSDH
---	GSHG0017140	---	down	3.17	3,61E-02	---
ENSG00000163131	GSHG0002492	CTSS	down	3.16	8,02E-03	---
ENSG00000121064	GSHG0012666	SCPEP1	down	3.15	1,31E-02	RISC
ENSG00000140563	GSHG0010182	MCTP2	down	3.14	1,80E-03	FLJ11175 // FLJ33303
